INDEX,LN_Count,LN_Total,LN_CD4#,LN_CD8#,LN_gd T cells#,LN_T reg#,LN_CD8 CD44 CD62Llo#,LN_CD4 CD44 CD62Llo#,LN_CD8 CD25+#,LN_CD8 CD27+#,LN_CD8 CD38+#,LN_CD8 CD69+#,LN_CD8 KLRG1+#,LN_CD8 PD-1+#,LN_B cells#,LN_GC cells#,LN_IgD- #,LN_Plasma cells#,LN_NK cells#,LN_CD107+NK#,LN_CD45#,LN_CD64-F4/80- #,LN_neutrophils#,LN_DC#,LN_mac#,SPLEEN_Count,SPLEEN_Total,SPLEEN_CD4#,SPLEEN_CD8#,SPLEEN_gd T cells#,SPLEEN_T reg#,SPLEEN_CD8 CD44 CD62Llo#,SPLEEN_CD4 CD44 CD62Llo#,SPLEEN_CD8 CD25+#,SPLEEN_CD8 CD27+#,SPLEEN_CD8 CD38+#,SPLEEN_CD8 CD69+#,SPLEEN_CD8 KLRG1+#,SPLEEN_CD8 PD-1+#,SPLEEN_B cells#,SPLEEN_GC cells#,SPLEEN_IgD- #,SPLEEN_Plasma cells#,SPLEEN_NK cells#,SPLEEN_CD107+NK#,SPLEEN_CD45#,SPLEEN_CD64-F4/80- #,SPLEEN_neutrophils#,SPLEEN_DC#,SPLEEN_mac#,CYTOKINE_IFN-γ,CYTOKINE_IL-10,CYTOKINE_CCL4 (MIP-1β),CYTOKINE_IFN-α,CYTOKINE_CXCL9,CYTOKINE_CXCL10,CYTOKINE_TNF-α,CYTOKINE_IL-6,CYTOKINE_VEGF,CYTOKINE_IL-4,CYTOKINE_CCL3 (MIP-1α),CYTOKINE_CCL2 (MCP-1),CYTOKINE_GM-CSF
B6_H_4,6,90000,33120,31050,1044,553.104,546.48,1430.784,37.26,28162.35,93.15,583.74,12885.75,90.045,3276,2.06388,86220,793.224,756,13.4568,89910,89370.54,17.874108,143.856,0.944055,14,4200000,919800,680400,64680,2943.36,94575.6,298935,639.576,444981.6,41776.56,4286.52,4286.52,7756.56,158340,300.846,3994200,2995.65,250320,23830.464,3801000,3379089,155100.1851,10642.8,310541.7,1,0,3.85,4.94,0,0,0,0,36.98,0.92,189.19,40.34,0
B6_H_4,98,1470000,505680,432180,18963,12793.704,4581.108,26952.744,734.706,412299.72,2117.682,10761.282,216522.18,1166.886,91581,311.3754,1370040,12741.372,18375,744.1875,1468530,1452376.17,203.3326638,3377.619,56.391552,23,6900000,1662900,1228200,73830,57702.63,22721.7,172941.6,970.278,1198723.2,58462.32,7860.48,7737.66,4298.7,126270,315.675,6762000,9466.8,252540,16389.846,6782700,6348607.2,121893.2582,16956.75,309969.39,1.7,166.34,3.85,29.153,0,0,0.131,0.63,12.84,1.08,0,57.11,0
B6_H_4,5,75000,27975,26250,787.5,207.015,456.75,1029.48,49.875,22942.5,63,472.5,12153.75,68.25,9450,12.285,65325,587.925,600,10.44,75000,74475,13.4055,71.25,0,125,37500000,7987500,6412500,367500,183712.5,126967.5,762007.5,4168.125,6284250,322548.75,31421.25,17955,46811.25,1136250,1704.375,36300000,39930,971250,72066.75,36037500,34091475,398870.2575,68471.25,1398255,0.44,0,18.55,4.94,0,0,0,1.22,4.61,1.42,90.2,217.57,0
B6_H_4,11,165000,65175,50490,2013,1147.08,711.909,2874.2175,95.931,47107.17,191.862,1211.76,24992.55,151.47,11038.5,28.7001,153285,1578.8355,1650,58.08,164835,162692.145,19.5230574,379.1205,4.582413,82,24600000,6002400,4698600,305040,156662.64,61081.8,547418.88,3429.978,4628121,201100.08,27251.88,23962.86,11746.5,501840,436.6008,24058800,52929.36,799500,35417.85,24181800,23141982.6,233734.0243,31436.34,785908.5,3.93,0,3.85,0,39.21,0,0,0.05,8.59,0.52,0,6.12,7.47
B6_H_4,32,480000,156960,130560,6768,4175.136,1605.888,8224.704,287.232,124162.56,783.36,3355.392,65932.8,417.792,56640,362.496,421920,4894.272,6816,101.5584,479040,471375.36,89.5613184,1245.504,0,165,49500000,8761500,7375500,658350,169096.95,128333.7,1550785.5,5457.87,7235365.5,450643.05,61216.65,38352.6,39827.7,603900,1932.48,48807000,122017.5,1613700,89560.35,47074500,44485402.5,484890.8873,150638.4,1831198.05,2.52,0,0,4.94,0,581.76,0,0.05,4.61,1.08,90.2,96.52,0
B6_L_4,31,465000,184605,168330,5347.5,553.815,2104.125,5113.5585,235.662,155873.58,403.992,2440.785,79283.43,336.66,29248.5,119.91885,434310,4125.945,3348,68.9688,464535,459425.115,59.72526495,557.442,0,300,90000000,20880000,15030000,1134000,453096,356211,3111120,14278.5,14579100,619236,106713,49599,52605,2592000,0,87570000,113841,1575000,65205,88560000,83866320,620610.768,177120,3533544,0.09,0,0,61.574,0,0,0,0.13,26.86,1.42,47.4,25.98,7.47
B6_L_4,10,150000,64200,49500,1995,1444.5,321.75,2471.7,64.35,48312,183.15,727.65,27027,84.15,7125,20.6625,142050,1292.655,1275,41.6925,149850,147901.95,22.1852925,479.52,0,427,128100000,29078700,20624100,1421910,846190.17,249551.61,3227735.7,16293.039,20108497.5,831151.23,146431.11,37123.38,43310.61,2036790,6925.086,126178500,189267.75,2997540,121999.878,123232200,115222107,1313532.02,603837.78,5644034.76,0.44,0,3.85,29.153,39.21,506.06,0,1.22,0.95,1.08,13.27,25.98,7.47
B6_L_4,7,105000,42945,31185,1207.5,1395.7125,233.8875,1636.2045,65.4885,30405.375,127.8585,611.226,17993.745,84.1995,5460,8.736,99015,930.741,997.5,28.62825,104895,102901.995,9.734528727,272.727,6.9545385,341,102300000,20153100,14731200,982080,578393.97,216548.64,2660209.2,7807.536,14348188.8,474344.64,79548.48,48612.96,29462.4,2680260,15277.482,99844800,139782.72,1340130,54275.265,96162000,90776928,762526.1952,221172.6,3894561,13.22,722.82,0,29.153,13.11,1399.69,0,0.42,0,0,13.27,25.98,0
B6_L_4,37,555000,248085,153180,7659,9154.3365,1317.348,7020.8055,336.996,150116.4,811.854,3752.91,90835.74,382.95,21700.5,13.88832,530025,3869.1825,4218,188.5446,555000,549450,33.571395,1831.5,11.1555,336,100800000,22780800,17337600,1320480,760878.72,289537.92,2528668.8,12656.448,16765459.2,535731.84,104025.6,110960.64,34675.2,2328480,5355.504,98683200,128288.16,1592640,70076.16,99691200,95603860.8,535381.6205,139567.68,3060519.84,3.93,0,101.43,4.94,39.21,0,0,5.43,4.61,0.78,47.4,25.98,0
B6_H_6,38,570000,229140,166440,6669,5522.274,1780.908,9211.428,1914.06,158950.2,532.608,3079.14,119171.04,1497.96,31977,30.37815,536940,3758.58,3876,148.8384,568290,566016.84,90.5626944,1591.212,16.082607,236,70800000,12319200,10832400,729240,219281.76,334721.16,1737007.2,5524.524,10366606.8,697606.56,72577.08,33580.44,32497.2,17487600,17487.6,55224000,127015.2,3540000,220542,68109600,65317106.4,457219.7448,1089753.6,1641441.36,0.04,376,0,4.94,0,867.6,0,3.51,2.74,0.22,113.65,57.11,0
