INDEX,LN_Count,LN_Total,LN_CD4#,LN_CD8#,LN_gd T cells#,LN_T reg#,LN_CD8 CD44 CD62Llo#,LN_CD4 CD44 CD62Llo#,LN_CD8 CD25+#,LN_CD8 CD27+#,LN_CD8 CD38+#,LN_CD8 CD69+#,LN_CD8 KLRG1+#,LN_CD8 PD-1+#,LN_B cells#,LN_GC cells#,LN_IgD- #,LN_Plasma cells#,LN_NK cells#,LN_CD107+NK#,LN_CD45#,LN_CD64-F4/80- #,LN_neutrophils#,LN_DC#,LN_mac#,SPLEEN_Count,SPLEEN_Total,SPLEEN_CD4#,SPLEEN_CD8#,SPLEEN_gd T cells#,SPLEEN_T reg#,SPLEEN_CD8 CD44 CD62Llo#,SPLEEN_CD4 CD44 CD62Llo#,SPLEEN_CD8 CD25+#,SPLEEN_CD8 CD27+#,SPLEEN_CD8 CD38+#,SPLEEN_CD8 CD69+#,SPLEEN_CD8 KLRG1+#,SPLEEN_CD8 PD-1+#,SPLEEN_B cells#,SPLEEN_GC cells#,SPLEEN_IgD- #,SPLEEN_Plasma cells#,SPLEEN_NK cells#,SPLEEN_CD107+NK#,SPLEEN_CD45#,SPLEEN_CD64-F4/80- #,SPLEEN_neutrophils#,SPLEEN_DC#,SPLEEN_mac#,CYTOKINE_IFN-γ,CYTOKINE_IL-10,CYTOKINE_CCL4 (MIP-1β),CYTOKINE_IFN-α,CYTOKINE_CXCL9,CYTOKINE_CXCL10,CYTOKINE_TNF-α,CYTOKINE_IL-6,CYTOKINE_VEGF,CYTOKINE_IL-4,CYTOKINE_CCL3 (MIP-1α),CYTOKINE_CCL2 (MCP-1),CYTOKINE_GM-CSF
BALBc_H_4,54,810000,532980,183060,3402,35123.382,2398.086,14497.056,311.202,167499.9,2251.638,3203.55,110934.36,732.24,19359,1384.1685,788940,4181.382,656.1,19.28934,810000,805950,88.6545,1053,5.0868,27,8100000,1968300,1053000,39690,127152.18,26535.6,206671.5,494.91,903474,51070.5,4001.4,1895.4,2316.6,216270,540.675,7921800,11090.52,1620,101.25,7298100,6750742.5,103961.4345,35760.69,408693.6,1.7,0,37.19,0,39.21,0,54.569,16.36,47.57,2.2,189.19,9.85,0
BALBc_H_4,27,405000,264870,88695,2794.5,15627.33,1862.595,9032.067,221.7375,79736.805,807.1245,1747.2915,48516.165,301.563,9720,198.288,394065,2285.577,486,22.1616,405000,403380,44.3718,688.5,2.69325,379,113700000,21489300,13530300,739050,1411847.01,457324.14,3889563.3,17589.39,12556118.4,863233.14,82534.83,21648.48,54121.2,2092080,7949.904,111653400,200976.12,68220,9619.02,93575100,86276242.2,1984353.571,421087.95,5352495.72,0.44,376,3.85,4.94,39.21,254.02,54.569,0.01,4.61,0.15,138.1,118.57,7.47
BALBc_H_4,9,135000,87615,32400,540,5397.084,450.36,1927.53,45.36,29613.6,401.76,641.52,19926,123.12,4347,46.9476,130140,689.742,120.15,2.150685,135000,134325,25.52175,162,2.16,10,3000000,645000,567000,23700,3870,122472,225750,737.1,384993,37138.5,4932.9,1927.8,3345.3,57900,81.06,2907000,4360.5,3000,693,2301000,2063997,96182.2602,7363.2,169123.5,0.44,0,3.85,0,13.11,581.76,0,0.13,22.01,2.87,269.43,57.11,0
BALBc_H_4,20,300000,193500,66300,2010,11068.2,1345.89,6230.7,139.23,59007,961.35,1531.53,41039.7,271.83,9450,69.93,289500,1650.15,480,15.504,300000,298200,32.802,390,0,57,17100000,3608100,2394000,116280,278906.13,86662.8,573687.9,2130.66,2221632,207559.8,15800.4,15321.6,16039.8,287280,0,16826400,33652.8,11115,766.935,15082200,13875624,352440.8496,81443.88,806897.7,1.7,166.34,3.85,139.227,109.38,427.47,0,1.22,0,0.52,0,6.12,7.47
BALBc_L_4,68,1020000,660960,249900,6018,38467.872,5297.88,20291.472,549.78,214914,2124.15,5872.65,160935.6,774.69,17850,82.11,998580,4793.184,1122,67.881,1020000,1014900,46.88838,1530,5.2122,34,10200000,2682600,1479000,57120,164711.64,45405.3,348738,1153.62,1368075,95099.7,10057.2,7395,7395,143820,345.168,10057200,9554.34,1326,132.6,9139200,8389785.6,119134.9555,52093.44,567544.32,3.44,166.34,3.85,0,0,254.02,20.659,0.25,0,2.2,47.4,75.94,40.13
BALBc_L_4,13,195000,120705,43290,3061.5,5938.686,1857.141,7544.0625,86.58,33939.36,389.61,1519.479,28225.08,298.701,7741.5,97.5429,186420,1379.508,565.5,28.89705,194805,193246.56,38.649312,389.61,0,55,16500000,3580500,2227500,125400,203730.45,68829.75,501270,2116.125,2138400,161716.5,18042.75,15592.5,12028.5,348150,940.005,16203000,14420.67,4620,813.12,13546500,12002199,232842.6606,124627.8,1144679.25,1,29.99,0,0,13.11,254.02,0,0.63,0,1.08,0,75.94,7.47
BALBc_L_4,18,270000,153900,75330,2160,4109.13,2644.083,5817.42,165.726,60264,655.371,1702.458,40150.89,293.787,12069,100.1727,256770,1309.527,594,34.452,269730,267572.16,45.4872672,404.595,2.805192,185,55500000,15207000,8769000,333000,961082.4,242024.4,1642356,6050.61,8391933,609445.5,64013.7,38583.6,28937.7,1110000,610.5,54501000,51230.94,7215,0,48618000,44728560,644091.264,228504.6,2849014.8,1,0,0,0,0,655.35,0,4.11,2.74,1.6,47.4,0.32,0
BALBc_L_4,18,270000,153900,72900,1809,9157.05,1778.76,4709.34,138.51,62037.9,743.58,1545.48,43448.4,189.54,7749,348.705,261630,1229.661,351,23.9031,270000,268650,15.501105,351,4.239,38,11400000,2907000,1618800,62700,205815.6,59409.96,430236,938.904,1521672,114125.4,11493.48,10036.56,7122.72,155040,0,11240400,13488.48,3306,0,9735600,8567328,134507.0496,96382.44,926829.12,1,166.34,37.19,4.94,0,254.02,0,2.96,17.33,0,242.34,75.94,0
BALBc_L_4,10,150000,79050,47550,930,1541.475,2230.095,3454.485,114.12,36898.8,404.175,984.285,24060.3,175.935,7920,135.432,141750,609.525,285,16.53,149850,148801.05,17.856126,209.79,0,11,3300000,914100,726000,16830,12066.12,132132,190132.8,602.58,454476,33686.4,4719,1742.4,2105.4,68640,137.28,3220800,3542.88,1716,131.9604,2979900,2655090.9,34250.67261,13707.54,247033.71,1,0,0,0,13.11,0,0.131,2.96,8.59,0.78,0,57.11,7.47
BALBc_H_6,56,840000,490560,228480,6048,23497.824,7973.952,23890.272,525.504,181184.64,1028.16,4021.248,163363.2,845.376,29316,1785.3444,812280,1299.648,756,62.748,838320,835805.04,142.0868568,1676.64,3.6550752,113,33900000,8407200,5152800,176280,633902.88,212810.64,1336744.8,7213.92,4817868,386460,53073.84,17519.52,30401.52,5966400,28638.72,28848900,49043.13,54240,14536.32,31391400,29790438.6,262155.8597,414366.48,988829.1,1,0,3.85,15.646,13.11,0,0,5.43,17.33,0.92,13.27,6.12,0
